station_id,date,element,value,measurement_flag,quality_flag,source_flag,year_month
HIST202400,2024-01-01,TMAX,9.2,,,synthetic,2024-01
HIST202400,2024-01-01,TMIN,-0.6,,,synthetic,2024-01
HIST202400,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202401,2024-01-01,TMAX,10.7,,,synthetic,2024-01
HIST202401,2024-01-01,TMIN,0.1,,,synthetic,2024-01
HIST202401,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202402,2024-01-01,TMAX,12.6,,,synthetic,2024-01
HIST202402,2024-01-01,TMIN,3.3,,,synthetic,2024-01
HIST202402,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202403,2024-01-01,TMAX,10.6,,,synthetic,2024-01
HIST202403,2024-01-01,TMIN,0.4,,,synthetic,2024-01
HIST202403,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202404,2024-01-01,TMAX,9.6,,,synthetic,2024-01
HIST202404,2024-01-01,TMIN,-1.1,,,synthetic,2024-01
HIST202404,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202405,2024-01-01,TMAX,16.5,,,synthetic,2024-01
HIST202405,2024-01-01,TMIN,7.9,,,synthetic,2024-01
HIST202405,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202406,2024-01-01,TMAX,13.1,,,synthetic,2024-01
HIST202406,2024-01-01,TMIN,2.1,,,synthetic,2024-01
HIST202406,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202407,2024-01-01,TMAX,14.0,,,synthetic,2024-01
HIST202407,2024-01-01,TMIN,4.4,,,synthetic,2024-01
HIST202407,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202408,2024-01-01,TMAX,12.2,,,synthetic,2024-01
HIST202408,2024-01-01,TMIN,4.0,,,synthetic,2024-01
HIST202408,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202409,2024-01-01,TMAX,11.6,,,synthetic,2024-01
HIST202409,2024-01-01,TMIN,0.6,,,synthetic,2024-01
HIST202409,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202410,2024-01-01,TMAX,10.2,,,synthetic,2024-01
HIST202410,2024-01-01,TMIN,2.1,,,synthetic,2024-01
HIST202410,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202411,2024-01-01,TMAX,13.7,,,synthetic,2024-01
HIST202411,2024-01-01,TMIN,2.2,,,synthetic,2024-01
HIST202411,2024-01-01,PRCP,0.0,,,synthetic,2024-01
HIST202400,2024-01-02,TMAX,10.0,,,synthetic,2024-01
HIST202400,2024-01-02,TMIN,-0.8,,,synthetic,2024-01
HIST202400,2024-01-02,PRCP,0.0,,,synthetic,2024-01
HIST202401,2024-01-02,TMAX,12.7,,,synthetic,2024-01
HIST202401,2024-01-02,TMIN,4.4,,,synthetic,2024-01
HIST202401,2024-01-02,PRCP,0.8,,,synthetic,2024-01
HIST202402,2024-01-02,TMAX,17.1,,,synthetic,2024-01
HIST202402,2024-01-02,TMIN,6.4,,,synthetic,2024-01
HIST202402,2024-01-02,PRCP,0.0,,,synthetic,2024-01
HIST202403,2024-01-02,TMAX,9.9,,,synthetic,2024-01
HIST202403,2024-01-02,TMIN,-1.4,,,synthetic,2024-01
HIST202403,2024-01-02,PRCP,0.0,,,synthetic,2024-01
HIST202404,2024-01-02,TMAX,14.3,,,synthetic,2024-01
HIST202404,2024-01-02,TMIN,6.2,,,synthetic,2024-01
HIST202404,2024-01-02,PRCP,0.0,,,synthetic,2024-01
HIST202405,2024-01-02,TMAX,13.1,,,synthetic,2024-01
HIST202405,2024-01-02,TMIN,4.0,,,synthetic,2024-01
HIST202405,2024-01-02,PRCP,0.0,,,synthetic,2024-01
HIST202406,2024-01-02,TMAX,11.1,,,synthetic,2024-01
HIST202406,2024-01-02,TMIN,0.0,,,synthetic,2024-01
HIST202406,2024-01-02,PRCP,0.2,,,synthetic,2024-01
