station_id,date,element,value,measurement_flag,quality_flag,source_flag
ASN00010568,2024-01-01,TMAX,30.0,,,a
ASN00010568,2024-01-01,TMIN,15.5,,,a
ASN00010568,2024-01-01,PRCP,0.0,,,a
ASN00010571,2024-01-01,PRCP,0.0,,,a
USC00362323,2024-01-01,TMAX,1.7,,,7
USC00362323,2024-01-01,TMIN,-0.6,,,7
USC00362323,2024-01-01,TOBS,0.0,,,7
USC00362323,2024-01-01,PRCP,0.0,T,,7
USC00362323,2024-01-01,SNOW,0.0,T,,7
USC00362323,2024-01-01,SNWD,0.0,,,7
USC00362470,2024-01-01,TMAX,0.6,,,7
USC00362470,2024-01-01,TMIN,-1.7,,,7
USC00362470,2024-01-01,TOBS,-1.7,,,7
USC00362470,2024-01-01,PRCP,6.6,,,7
USC00362470,2024-01-01,SNOW,5.1,,,7
USC00362470,2024-01-01,SNWD,5.1,,,7
USC00362574,2024-01-01,TMAX,3.9,,,7
USC00362574,2024-01-01,TMIN,-1.1,,,7
USC00362574,2024-01-01,TOBS,1.1,,,7
USC00362574,2024-01-01,PRCP,1.8,,,7
USC00362574,2024-01-01,SNOW,0.0,,,7
USC00362574,2024-01-01,SNWD,0.0,,,7
USC00362721,2024-01-01,PRCP,4.1,,,7
USC00362721,2024-01-01,SNOW,0.0,T,,7
USC00362721,2024-01-01,SNWD,0.0,T,,7
USC00362942,2024-01-01,TMAX,3.3,,,7
USC00362942,2024-01-01,TMIN,0.0,,,7
USC00362942,2024-01-01,TOBS,0.0,,,7
USC00362942,2024-01-01,PRCP,1.5,,,7
USC00362942,2024-01-01,SNOW,0.5,,,7
USC00362942,2024-01-01,SNWD,2.5,,,7
USC00363018,2024-01-01,TMAX,1.7,,,7
USC00363018,2024-01-01,TMIN,-3.3,,,7
USC00363028,2024-01-01,TMAX,3.3,,,7
USC00363028,2024-01-01,TMIN,0.0,,,7
USC00363028,2024-01-01,TOBS,0.6,,,7
USC00363028,2024-01-01,PRCP,6.1,,,7
USC00363028,2024-01-01,SNOW,0.0,T,,7
USC00363028,2024-01-01,SNWD,0.0,T,,7
USC00363311,2024-01-01,TMAX,1.1,,,7
USC00363311,2024-01-01,TMIN,-0.6,,,7
USC00363311,2024-01-01,TOBS,0.0,,,7
USC00363311,2024-01-01,PRCP,0.8,,,7
USC00363311,2024-01-01,SNOW,1.5,,,7
USC00363311,2024-01-01,SNWD,2.5,,,7
USC00363321,2024-01-01,PRCP,0.0,,,7
USC00363321,2024-01-01,SNOW,0.0,,,7
USC00363321,2024-01-01,SNWD,0.0,,,7
USC00363343,2024-01-01,TMAX,3.9,,,7
USC00363343,2024-01-01,TMIN,0.6,,,7
USC00363343,2024-01-01,TOBS,0.6,,,7
USC00363343,2024-01-01,PRCP,1.0,,,7
USC00363343,2024-01-01,SNOW,0.3,,,7
USC00363343,2024-01-01,SNWD,0.0,,,7
USC00363417,2024-01-01,TMAX,2.2,,,7
USC00363417,2024-01-01,TMIN,0.0,,,7
USC00363417,2024-01-01,TOBS,0.0,,,7
USC00363417,2024-01-01,PRCP,3.0,,,7
USC00363417,2024-01-01,SNOW,2.0,,,7
USC00363417,2024-01-01,SNWD,2.5,,,7
USC00363451,2024-01-01,TMAX,2.8,,,7
USC00363451,2024-01-01,TMIN,-0.6,,,7
USC00363451,2024-01-01,TOBS,-0.6,,,7
USC00363451,2024-01-01,PRCP,0.3,,,7
USC00363451,2024-01-01,SNOW,0.0,,,7
USC00363451,2024-01-01,SNWD,0.0,,,7
USC00504812,2024-01-01,TMAX,5.6,,,7
USC00504812,2024-01-01,TMIN,0.0,,,7
USC00504812,2024-01-01,TOBS,5.0,,,7
USC00504812,2024-01-01,PRCP,0.5,,,7
USC00504812,2024-01-01,SNOW,0.0,,,7
USC00504812,2024-01-01,SNWD,0.0,,,7
USC00504899,2024-01-01,TMAX,2.8,,,7
